2015-12-16 13:06:54,592 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: in.com.pradeepit.web:webportfolio:0.0.1-SNAPSHOT @ C:\Users\Vinod\Documents\javawebproject\webportfolio\pom.xml.
2015-12-16 13:06:56,634 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /webportfolio/src/main/java
2015-12-16 13:06:56,635 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /webportfolio/src/main/resources
2015-12-16 13:06:56,639 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /webportfolio/src/test/java
2015-12-16 13:06:56,639 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /webportfolio/src/test/resources
2015-12-16 13:06:56,681 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: in.com.pradeepit.web:webportfolio:0.0.1-SNAPSHOT @ C:\Users\Vinod\Documents\javawebproject\webportfolio\pom.xml.
2015-12-16 13:07:10,907 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: in.com.pradeepit.web:webportfolio:0.0.1-SNAPSHOT @ C:\Users\Vinod\Documents\javawebproject\webportfolio\pom.xml.
2015-12-16 13:07:10,990 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-16 13:07:10,994 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-16 13:07:10,998 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-16 13:07:10,999 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-16 13:07:55,515 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-16 13:07:55,518 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-16 13:07:55,520 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-16 13:07:55,521 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-12-16 13:08:04,090 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-16 13:08:04,092 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
